60,51,32.92,53.4,-20.4,1.137,100,1,151,0,0,0,0,0,0,0,0,0,0,0,0
67,1486,285.2,891.6,-594,1.09,100,1,1586,0,0,0,0,0,0,0,0,0,0,0,0
79,250.2,-15.95,150.1,-100,1.052,100,1,350.2,0,0,0,0,0,0,0,0,0,0,0,0
80,47,-15.06,28.2,-18.8,1.069,100,1,147,0,0,0,0,0,0,0,0,0,0,0,0
82,70,17.15,42,-28,0.975,100,1,170,0,0,0,0,0,0,0,0,0,0,0,0
89,673,136.39,403.8,-269,1.066,100,1,773,0,0,0,0,0,0,0,0,0,0,0,0
90,22,-3.87,13.2,-8.8,0.95,100,1,122,0,0,0,0,0,0,0,0,0,0,0,0
91,64,-1.54,38.4,-25.6,1,100,1,164,0,0,0,0,0,0,0,0,0,0,0,0
93,700,373.81,766,-520,1,100,1,800,0,0,0,0,0,0,0,0,0,0,0,0
94,300,19.05,288,-192,1.02,100,1,400,0,0,0,0,0,0,0,0,0,0,0,0
95,131,10.12,108.6,-72.4,0.92,100,1,231,0,0,0,0,0,0,0,0,0,0,0,0
96,60,21.11,36,-24,1,100,1,160,0,0,0,0,0,0,0,0,0,0,0,0
97,140,45.63,84,-56,0.967,100,1,240,0,0,0,0,0,0,0,0,0,0,0,0
98,426,-32.73,255.6,-170,0.97,100,1,526,0,0,0,0,0,0,0,0,0,0,0,0
99,200,-8.36,110,-110,1,100,1,300,0,0,0,0,0,0,0,0,0,0,0,0
100,170,58.72,102,-68,1.014,100,1,270,0,0,0,0,0,0,0,0,0,0,0,0
101,310.9,148.66,186.5,-124,1.039,100,1,410.9,0,0,0,0,0,0,0,0,0,0,0,0
102,2040,488.9,640,0,1.019,100,1,2140,0,0,0,0,0,0,0,0,0,0,0,0
103,135,4.96,81,-54,1,100,1,235,0,0,0,0,0,0,0,0,0,0,0,0
104,2000,500,500,0,1.045,100,1,2100,0,0,0,0,0,0,0,0,0,0,0,0
105,1620,388.34,1008,0,1.007,100,1,1720,0,0,0,0,0,0,0,0,0,0,0,0
106,1080,209.36,671,0,1.005,100,1,1180,0,0,0,0,0,0,0,0,0,0,0,0
108,800,77.28,480,-320,1.014,100,1,900,0,0,0,0,0,0,0,0,0,0,0,0
109,52,-15.55,31.2,-20.8,0.915,100,1,152,0,0,0,0,0,0,0,0,0,0,0,0
110,700,519.84,766,0,1,100,1,800,0,0,0,0,0,0,0,0,0,0,0,0
111,2000,563.72,1000,0,1,100,1,2100,0,0,0,0,0,0,0,0,0,0,0,0
112,300,140.11,160,0,1.037,100,1,400,0,0,0,0,0,0,0,0,0,0,0,0
115,2493,142.72,1496,-997,1.049,100,1,2593,0,0,0,0,0,0,0,0,0,0,0,0
116,2713,631.84,1628,-1085,1.043,100,1,2813,0,0,0,0,0,0,0,0,0,0,0,0
117,2627,258.54,1576,-1051,1.03,100,1,2727,0,0,0,0,0,0,0,0,0,0,0,0
118,4220,660.38,2532,-1688,1.01,100,1,4320,0,0,0,0,0,0,0,0,0,0,0,0
119,8954,4748.5,5373,-3582,1.013,100,1,9054,0,0,0,0,0,0,0,0,0,0,0,0
121,2997,-160.22,1798,-1199,1.046,100,1,3097,0,0,0,0,0,0,0,0,0,0,0,0
122,1009,174.04,605.4,-404,1,100,1,1109,0,0,0,0,0,0,0,0,0,0,0,0
124,3005,569.19,1803,-1202,1,100,1,3105,0,0,0,0,0,0,0,0,0,0,0,0
128,12963,2610.8,7778,-5185,1.025,100,1,13063,0,0,0,0,0,0,0,0,0,0,0,0
130,5937,1835,3562,-2375,1.057,100,1,6037,0,0,0,0,0,0,0,0,0,0,0,0
131,28300,7473,16980,-9999,1.042,100,1,28400,0,0,0,0,0,0,0,0,0,0,0,0
132,3095,633.42,1857,-1238,1.042,100,1,3195,0,0,0,0,0,0,0,0,0,0,0,0
134,20626,7402.1,12375,-8250,1.044,100,1,20726,0,0,0,0,0,0,0,0,0,0,0,0
135,5982,1564.8,3589,-2393,1.107,100,1,6082,0,0,0,0,0,0,0,0,0,0,0,0
136,51950,14454,31170,-9999,1.083,100,1,52050,0,0,0,0,0,0,0,0,0,0,0,0
137,12068,3450.8,7241,-4827,1.064,100,1,12168,0,0,0,0,0,0,0,0,0,0,0,0
139,56834,15850,34100,-9999,1.04,100,1,56934,0,0,0,0,0,0,0,0,0,0,0,0
140,23123,6710.5,13874,-9249,1.05,100,1,23223,0,0,0,0,0,0,0,0,0,0,0,0
141,37911,11670,22747,-9999,1.053,100,1,38011,0,0,0,0,0,0,0,0,0,0,0,0
142,24449,5496.1,14670,-9780,1.155,100,1,24549,0,0,0,0,0,0,0,0,0,0,0,0
143,5254,2158.6,3152,-2101,1.031,100,1,5354,0,0,0,0,0,0,0,0,0,0,0,0
144,11397,2686.8,6838,-4559,0.997,100,1,11497,0,0,0,0,0,0,0,0,0,0,0,0
145,14119,2987.2,9999,-9999,1.052,100,1,14219,0,0,0,0,0,0,0,0,0,0,0,0
